Date,Open,High,Low,Close,Adj Close,Volume
01-01-2016,4621,4668,4602.350098,4638.5,4352.271973,243597
04-01-2016,4635,4657,4571.75,4580.649902,4297.991699,405501
05-01-2016,4599.950195,4600.75,4557.25,4566.950195,4285.137207,509285
06-01-2016,4592,4593,4468,4480.799805,4204.302734,593742
07-01-2016,4449.700195,4449.700195,4251.850098,4267.899902,4004.540283,1200069
08-01-2016,4286.299805,4325,4195.799805,4214.75,3954.669678,994652
11-01-2016,4190,4300,4117,4272.399902,4008.762451,865799
12-01-2016,4310,4324.799805,4260,4269,4005.572754,481142
13-01-2016,4298,4310,4221.350098,4291.25,4026.449707,431206
14-01-2016,4239,4289,4212.700195,4248.25,3986.103271,402026
15-01-2016,4265,4340,4254,4273.350098,4009.654297,592183
18-01-2016,4279,4289.25,4172.850098,4236.200195,3974.796387,396124
19-01-2016,4241,4244.950195,4165,4198.149902,3939.094482,499001
20-01-2016,4169.850098,4189.950195,4028.5,4058.949951,3808.483643,679992
21-01-2016,4084.949951,4084.949951,3870,3891.699951,3651.554443,1212801
22-01-2016,3942.949951,4119.899902,3930.149902,4104.950195,3851.645508,1063413
25-01-2016,4125.950195,4172,4073.899902,4081.350098,3829.501709,608634
27-01-2016,4131,4179,4092,4111.950195,3858.213867,886550
28-01-2016,4080,4139.899902,4031,4103.299805,3850.097412,1677354
29-01-2016,3925,4124,3923,4095.850098,3843.107178,2147231
01-02-2016,4100.899902,4119,3933.649902,3948.25,3704.614746,1904034
02-02-2016,3952.600098,3985,3851.550049,3874.949951,3635.838135,902619
03-02-2016,3870,3870,3784.649902,3828.350098,3592.11377,1101308
04-02-2016,3864,3881.899902,3774,3794.649902,3560.493164,597800
05-02-2016,3784.699951,3790,3693.300049,3723.399902,3493.640137,1245857
08-02-2016,3749,3789,3715.050049,3732.550049,3502.225586,559505
09-02-2016,3685,3689,3620,3657.100098,3431.431396,657011
10-02-2016,3639.850098,3718,3600,3678.550049,3451.557373,795377
11-02-2016,3651.100098,3664.300049,3518.5,3541.449951,3322.917236,1066224
12-02-2016,3570,3588,3461,3549.649902,3330.611328,1211696
15-02-2016,3605.949951,3724.899902,3604.399902,3711.25,3482.239502,1182286
16-02-2016,3725.25,3748.949951,3651.199951,3705.199951,3476.562988,753873
17-02-2016,3679.899902,3755,3661.5,3749.149902,3517.801025,652019
18-02-2016,3781.25,3796.850098,3622.100098,3653.25,3427.818848,1243826
19-02-2016,3640,3640,3559,3579.149902,3358.290771,718677
22-02-2016,3539,3545,3491.550049,3520.800049,3303.541992,1291463
23-02-2016,3530,3568.449951,3480,3487.399902,3272.202637,796836
24-02-2016,3499.949951,3530,3480,3489.699951,3274.36084,605914
25-02-2016,3509.649902,3510,3401,3414.149902,3203.472412,840542
26-02-2016,3452,3459.100098,3375.100098,3409.199951,3198.828125,831491
29-02-2016,3425,3434.949951,3193.25,3236.5,3036.784912,2218323
01-03-2016,3200.899902,3510,3200.899902,3494.399902,3278.770752,1924803
02-03-2016,3542.949951,3627.699951,3540.050049,3612.649902,3389.723877,1236996
03-03-2016,3625.800049,3647,3578,3608.649902,3385.970703,742263
04-03-2016,3619,3619,3526,3555.100098,3335.725586,610234
08-03-2016,3552.949951,3598.949951,3450.600098,3462.649902,3248.979736,1100041
09-03-2016,3454.850098,3600,3441.100098,3576.399902,3355.710693,752948
10-03-2016,3600,3634.699951,3573.399902,3627.199951,3403.376221,1016572
11-03-2016,3633.699951,3690,3616.050049,3641.199951,3416.512451,1002559
14-03-2016,3660,3684,3627.050049,3648.149902,3423.033203,483295
15-03-2016,3670,3679.899902,3615.5,3654.550049,3429.038574,688839
16-03-2016,3650,3675,3637.5,3667.350098,3441.048584,459188
17-03-2016,3686.350098,3750,3620,3635.449951,3411.116699,710449
18-03-2016,3640,3649.699951,3557.050049,3621.399902,3397.933838,1073782
21-03-2016,3630.100098,3678.800049,3605,3669.550049,3443.112793,474712
22-03-2016,3669,3735.949951,3652,3699.550049,3471.261963,713115
23-03-2016,3711.850098,3744,3666.449951,3736,3505.462402,586282
28-03-2016,3759,3777.800049,3629.949951,3638.949951,3414.401123,743468
29-03-2016,3649,3769,3645,3729.949951,3499.785889,686482
30-03-2016,3745,3749.899902,3684,3727.449951,3497.439941,872340
31-03-2016,3739.5,3748.75,3664,3716.300049,3486.977783,1223191
01-04-2016,3700.449951,3764.949951,3682,3723.199951,3493.452393,769731
04-04-2016,3735,3751.5,3676,3683.25,3455.967285,299849
05-04-2016,3676,3696.899902,3536.5,3554.850098,3335.490723,826024
06-04-2016,3568,3607.300049,3546,3573.050049,3352.567871,664480
07-04-2016,3556.5,3556.5,3450,3471,3256.814453,1221608
08-04-2016,3460,3474,3418.5,3430.649902,3218.95459,1631533
11-04-2016,3437,3488,3423,3478.649902,3263.99292,970375
12-04-2016,3470.199951,3609.850098,3465.050049,3573.699951,3353.17749,1404427
13-04-2016,3613,3745.350098,3606.600098,3731.600098,3501.333984,1107727
18-04-2016,3720.800049,3750,3680,3718.949951,3489.4646,999621
20-04-2016,3724.350098,3724.350098,3651,3670.050049,3443.582275,1830988
21-04-2016,3695,3737.25,3674,3705.300049,3476.656738,1928958
22-04-2016,3703,3833,3680.100098,3816.050049,3580.572754,1165761
25-04-2016,3806.100098,3842,3715.149902,3727.949951,3497.90918,838216
26-04-2016,3704.050049,3894,3691.899902,3871.550049,3632.648193,2782566
27-04-2016,3841.100098,3932.75,3830.25,3859.399902,3621.247803,1388262
28-04-2016,3819,3854,3735.100098,3747.949951,3516.675049,1821236
29-04-2016,3742,3820,3725,3794.649902,3560.493164,962848
02-05-2016,3799.899902,3840,3751.600098,3830.850098,3594.459473,762337
03-05-2016,3840.800049,3879,3795.699951,3819.949951,3584.231934,795697
04-05-2016,3800,3844,3796.050049,3811.550049,3576.350586,557609
05-05-2016,3825,3850,3802,3836.850098,3600.089111,485772
06-05-2016,3829.949951,3835,3802,3818.949951,3583.293701,411877
09-05-2016,3830,3878,3825,3846.5,3609.144043,771389
10-05-2016,3850.5,3897.050049,3835.100098,3844.800049,3607.548584,1094666
11-05-2016,3800,3898,3790,3890.050049,3650.006348,679706
12-05-2016,3884.850098,3909.800049,3841.5,3854.199951,3616.368652,857976
13-05-2016,3856,3877.899902,3828,3846.25,3608.90918,435056
16-05-2016,3870,3895,3840,3881.600098,3642.077881,878812
17-05-2016,3891.050049,3969,3886.25,3950.699951,3706.913818,865028
18-05-2016,3928.800049,3939,3805.050049,3914.899902,3673.322998,1921044
19-05-2016,3900,3940,3881,3926.600098,3684.30127,679821
20-05-2016,3883.800049,3959,3881.100098,3944.949951,3701.518555,485214
23-05-2016,3964,3968.300049,3900,3913.850098,3672.338135,348354
24-05-2016,3913.800049,3937.949951,3893.149902,3924.199951,3682.049072,283533
25-05-2016,3948,4072,3940,4060.949951,3810.36084,842663
26-05-2016,4064,4125,4027.199951,4118,3863.890625,1074664
27-05-2016,4114.700195,4162,4091.050049,4146.600098,3890.72583,880888
30-05-2016,4132,4155.200195,4054,4071.75,3820.494141,555311
31-05-2016,4060,4180,4055.050049,4161.600098,3904.799805,775477
01-06-2016,4170.700195,4199.950195,4150,4165.350098,3908.318604,647041
02-06-2016,4150,4194.950195,4124,4186.649902,3928.303711,411143
03-06-2016,4192.149902,4235,4180,4217.950195,3957.67334,591630
06-06-2016,4216,4217,4118,4142,3886.40918,443085
07-06-2016,4175,4188.950195,4118,4135.649902,3880.451172,471388
08-06-2016,4131,4169.799805,4124.700195,4160.100098,3903.392578,417715
